,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
1161,1161.0,1161.0,0.0,,,2,Single-player,1870950
1162,1162.0,1162.0,1.0,,,1,Multi-player,1870950
1163,1163.0,1163.0,2.0,,,9,Co-op,1870950
1164,1164.0,1164.0,3.0,,,39,Shared/Split Screen Co-op,1870950
1165,1165.0,1165.0,4.0,,,24,Shared/Split Screen,1870950
1166,1166.0,1166.0,5.0,,,21,Downloadable Content,1870950
1167,1167.0,1167.0,6.0,,,22,Steam Achievements,1870950
1168,1168.0,1168.0,7.0,,,28,Full controller support,1870950
1169,1169.0,1169.0,8.0,,,15,Stats,1870950
1170,1170.0,1170.0,9.0,,,43,Remote Play on TV,1870950
1171,1171.0,1171.0,10.0,,,44,Remote Play Together,1870950
1172,1172.0,1172.0,0.0,,,2,Single-player,1870970
1173,1173.0,1173.0,0.0,,,2,Single-player,1870020
1174,1174.0,1174.0,1.0,,,22,Steam Achievements,1870020
1175,1175.0,1175.0,0.0,,,21,Downloadable Content,1870060
1176,1176.0,1176.0,1.0,,,44,Remote Play Together,1870060
1177,1177.0,1177.0,0.0,,,2,Single-player,1870080
1178,1178.0,1178.0,1.0,,,1,Multi-player,1870080
1179,1179.0,1179.0,2.0,,,9,Co-op,1870080
1180,1180.0,1180.0,3.0,,,38,Online Co-op,1870080
1181,1181.0,1181.0,4.0,,,21,Downloadable Content,1870080
1182,1182.0,1182.0,5.0,,,22,Steam Achievements,1870080
1183,1183.0,1183.0,6.0,,,28,Full controller support,1870080
1184,1184.0,1184.0,7.0,,,23,Steam Cloud,1870080
1185,1185.0,1185.0,0.0,,,2,Single-player,1870120
1186,1186.0,1186.0,1.0,,,21,Downloadable Content,1870120
1187,1187.0,1187.0,2.0,,,22,Steam Achievements,1870120
1188,1188.0,1188.0,3.0,,,18,Partial Controller Support,1870120
1189,1189.0,1189.0,4.0,,,23,Steam Cloud,1870120
1190,1190.0,1190.0,0.0,,,2,Single-player,1870121
1191,1191.0,1191.0,1.0,,,21,Downloadable Content,1870121
1192,1192.0,1192.0,2.0,,,22,Steam Achievements,1870121
1193,1193.0,1193.0,3.0,,,18,Partial Controller Support,1870121
